ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,trans_depth,method,host,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types
2026-05-07 17:23:36.378462076,CjVaJ01rkSFRPnrlE2,fe80::a042:4eff:fe28:b79e,143,ff02::16,0,icmp,,,,,OTH,T,F,0,,1,76,0,0,,58,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:36.509337901,CDraIq46By2DpQzft3,172.30.0.141,43566,172.30.0.40,80,tcp,http,0 days 00:00:58.665282,564,0,S1,T,T,0,ShADa,15,1352,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:36.509452105,CDraIq46By2DpQzft3,172.30.0.141,43566,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,84,0,,,,,(empty),,,,FfVP7o2kH2iJLxH1c3,,text/plain,,,
2026-05-07 17:23:36.843274117,CgB9RJtCNNZ6k0bch,172.30.0.141,43574,172.30.0.40,80,tcp,http,0 days 00:00:58.331358,557,0,S1,T,T,0,ShADa,15,1345,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:36.843389988,CgB9RJtCNNZ6k0bch,172.30.0.141,43574,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,77,0,,,,,(empty),,,,F3Dz94XlWRshkh5zc,,text/plain,,,
2026-05-07 17:23:37.176964045,CCac1G12DuGj75KkWi,172.30.0.141,43576,172.30.0.40,80,tcp,http,0 days 00:00:57.997677,559,0,S1,T,T,0,ShADa,15,1347,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:37.177045107,CCac1G12DuGj75KkWi,172.30.0.141,43576,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,79,0,,,,,(empty),,,,Fxu1uV3WqlnKi7uo1,,text/plain,,,
2026-05-07 17:23:37.510586023,CPlGcp1X3Qrosd17f9,172.30.0.141,43590,172.30.0.40,80,tcp,http,0 days 00:00:57.664069,561,0,S1,T,T,0,ShADa,15,1349,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:37.510694027,CPlGcp1X3Qrosd17f9,172.30.0.141,43590,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,81,0,,,,,(empty),,,,F2EbPe38mZjMwzs3u9,,text/plain,,,
2026-05-07 17:23:37.844233036,C8B9rh1D6wiGZtXIw4,172.30.0.141,43606,172.30.0.40,80,tcp,http,0 days 00:00:57.330437,572,0,S1,T,T,0,ShADa,15,1360,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
