ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,trans_depth,method,host,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types,label,binary_label
2026-05-16 14:26:19.142971992,CW6c3q4wZJ9JLNrdTk,172.30.0.40,48970,146.75.122.132,443,tcp,,0 days 00:00:00.000064,0.0,24.0,RSTO,T,F,0.0,^dRf,2.0,80.0,2.0,128.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,normal,0
2026-05-16 14:26:19.143023968,C8xPHv3fE8DtXjMhKj,172.30.0.40,53948,146.75.122.132,80,tcp,,0 days 00:00:00.000005,0.0,0.0,SHR,T,F,0.0,^fA,1.0,52.0,1.0,52.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,normal,0
2026-05-16 14:26:19.187696934,CEzQaUa9xlfSj2UU3,172.30.0.128,57202,172.30.0.40,80,tcp,,0 days 00:00:54.064752,0.0,1.0,OTH,T,T,0.0,^aAW,7.0,364.0,8.0,416.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,slowread,1
2026-05-16 14:26:19.261411905,CYBKuc3CkwJdJwELPf,172.30.0.128,57204,172.30.0.40,80,tcp,http,0 days 00:00:56.038891,332.0,1152.0,S1,T,T,0.0,ShADadW,13.0,1016.0,13.0,1836.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,slowread,1
2026-05-16 14:26:19.261519909,CquSi03qOIlCOOL536,172.30.0.128,57194,172.30.0.40,80,tcp,,0 days 00:00:00.000257,0.0,307584.0,OTH,T,T,0.0,AdR,13.0,604.0,11.0,308156.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,slowread,1
2026-05-16 14:26:19.261667967,CYBKuc3CkwJdJwELPf,172.30.0.128,57204,172.30.0.40,80,,,,,,,,,,,,,,,,,1.0,GET,target_nginx,/slow-read,TESTING_PURPOSES_ONLY,1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,0.0,976.0,200.0,OK,,,(empty),,,,,,,FItT8j1wfJ4LYfdgc2,,text/plain,slowread,1
2026-05-16 14:26:19.261990070,CJb0vK3lG0S6x9D5Ff,172.30.0.40,55022,172.30.0.30,8080,tcp,,,,,OTH,T,T,0.0,R,1.0,52.0,0.0,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,normal,0
2026-05-16 14:26:19.262223959,CyBZLnDqhaKCAf8Hk,172.30.0.40,55032,172.30.0.30,8080,tcp,http,0 days 00:00:58.086020,376.0,156694.0,S1,T,T,0.0,ShADadtW,30.0,1956.0,38.0,159806.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,normal,0
2026-05-16 14:26:19.262334108,CyBZLnDqhaKCAf8Hk,172.30.0.40,55032,172.30.0.30,8080,,,,,,,,,,,,,,,,,1.0,GET,target_nginx,/slow-read,TESTING_PURPOSES_ONLY,1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,0.0,156386.0,200.0,OK,,,(empty),,,,,,,FoIbz21kGVTGxbtQmj,,text/plain,normal,0
2026-05-16 14:26:19.287743092,CUhKgP2g7HgUuYIhT5,172.30.0.40,55024,172.30.0.30,8080,tcp,,0 days 00:00:56.012540,0.0,1.0,OTH,T,T,0.0,^aAW,7.0,364.0,8.0,416.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,normal,0
